NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BETA2 ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04378	BETA2 ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04378	Details ...	22	-0.6106698	-1.8030944	0.0036231885	0.5769882	0.987	912	tags=27%, list=6%, signal=29%	
LEUKOCYTE-INTRINSIC HIPPO PATHWAY FUNCTIONS%WIKIPATHWAYS_20220510%WP4542%HOMO SAPIENS	LEUKOCYTE-INTRINSIC HIPPO PATHWAY FUNCTIONS%WIKIPATHWAYS_20220510%WP4542%HOMO SAPIENS	Details ...	17	-0.64965117	-1.8008981	0.007194245	0.53866726	0.99	2323	tags=47%, list=15%, signal=55%	
PID_ER_NONGENOMIC_PATHWAY%MSIGDB_C2%PID_ER_NONGENOMIC_PATHWAY	PID_ER_NONGENOMIC_PATHWAY%MSIGDB_C2%PID_ER_NONGENOMIC_PATHWAY	Details ...	30	-0.56239814	-1.7962735	0.0042735045	0.52319014	0.994	1233	tags=30%, list=8%, signal=33%	
PID_NEPHRIN_NEPH1_PATHWAY%MSIGDB_C2%PID_NEPHRIN_NEPH1_PATHWAY	PID_NEPHRIN_NEPH1_PATHWAY%MSIGDB_C2%PID_NEPHRIN_NEPH1_PATHWAY	Details ...	22	-0.59702784	-1.7944958	0.018382354	0.49361017	0.994	1455	tags=27%, list=9%, signal=30%	
CORTOCOTROPIN RELEASING FACTOR RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04380	CORTOCOTROPIN RELEASING FACTOR RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04380	Details ...	19	-0.6211813	-1.7807559	0.0	0.5244802	0.997	179	tags=21%, list=1%, signal=21%	
PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING%GOBP%GO:0014065	PHOSPHATIDYLINOSITOL 3-KINASE SIGNALING%GOBP%GO:0014065	Details ...	27	-0.5854264	-1.7799655	0.0	0.49535406	0.997	2704	tags=52%, list=18%, signal=63%	
LEPTIN SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2034%HOMO SAPIENS	LEPTIN SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP2034%HOMO SAPIENS	Details ...	63	-0.47750524	-1.7742238	0.0	0.4893268	0.997	2582	tags=35%, list=17%, signal=42%	
RAS PATHWAY%PANTHER PATHWAY%P04393	RAS PATHWAY%PANTHER PATHWAY%P04393	Details ...	66	-0.47638702	-1.7708902	0.0	0.47519562	0.998	1934	tags=27%, list=13%, signal=31%	
ENERGY METABOLISM%WIKIPATHWAYS_20220510%WP1541%HOMO SAPIENS	ENERGY METABOLISM%WIKIPATHWAYS_20220510%WP1541%HOMO SAPIENS	Details ...	39	-0.53234017	-1.767925	0.0	0.46152487	0.999	2264	tags=33%, list=15%, signal=39%	
DOWNSTREAM SIGNALING OF ACTIVATED FGFR1%REACTOME%R-HSA-5654687.2	DOWNSTREAM SIGNALING OF ACTIVATED FGFR1%REACTOME%R-HSA-5654687.2	Details ...	18	-0.6176172	-1.7523124	0.0035460992	0.5017796	0.999	1135	tags=33%, list=7%, signal=36%	
CANNABINOID RECEPTOR SIGNALING%WIKIPATHWAYS_20220510%WP3869%HOMO SAPIENS	CANNABINOID RECEPTOR SIGNALING%WIKIPATHWAYS_20220510%WP3869%HOMO SAPIENS		17	-0.6188228	-1.7484126	0.0031948881	0.49377215	0.999	1749	tags=35%, list=11%, signal=40%	
PEPTIDYL-L-CYSTEINE S-PALMITOYLATION%GOBP%GO:0018230	PEPTIDYL-L-CYSTEINE S-PALMITOYLATION%GOBP%GO:0018230		21	-0.58351105	-1.747442	0.0070422534	0.47483173	0.999	1105	tags=33%, list=7%, signal=36%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDBHALLMARK%HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDBHALLMARK%HALLMARK_PI3K_AKT_MTOR_SIGNALING		70	-0.4626782	-1.7439051	0.0	0.46610886	1.0	1757	tags=27%, list=11%, signal=31%	
REGULATION OF ESTABLISHMENT OF PLANAR POLARITY%GOBP%GO:0090175	REGULATION OF ESTABLISHMENT OF PLANAR POLARITY%GOBP%GO:0090175		29	-0.5471399	-1.7332407	0.0	0.48992786	1.0	2152	tags=31%, list=14%, signal=36%	
PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING	PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLASMA MEMBRANE ESTROGEN RECEPTOR SIGNALING		38	-0.503885	-1.7187909	0.0	0.53281534	1.0	1233	tags=24%, list=8%, signal=26%	
INHIBITION OF EXOSOME BIOGENESIS AND SECRETION BY MANUMYCIN A IN CRPC CELLS%WIKIPATHWAYS_20220510%WP4301%HOMO SAPIENS	INHIBITION OF EXOSOME BIOGENESIS AND SECRETION BY MANUMYCIN A IN CRPC CELLS%WIKIPATHWAYS_20220510%WP4301%HOMO SAPIENS		15	-0.6399397	-1.7171348	0.006557377	0.5192731	1.0	1867	tags=40%, list=12%, signal=45%	
PARKINSON'S DISEASE PATHWAY%WIKIPATHWAYS_20220510%WP2371%HOMO SAPIENS	PARKINSON'S DISEASE PATHWAY%WIKIPATHWAYS_20220510%WP2371%HOMO SAPIENS		25	-0.56031024	-1.7085218	0.011904762	0.5363193	1.0	1749	tags=24%, list=11%, signal=27%	
PARKINSON DISEASE%PANTHER PATHWAY%P00049	PARKINSON DISEASE%PANTHER PATHWAY%P00049		42	-0.5011565	-1.7081848	0.0048076925	0.5188917	1.0	3273	tags=48%, list=21%, signal=60%	
LEPTIN%IOB%LEPTIN	LEPTIN%IOB%LEPTIN		21	-0.58042055	-1.7050172	0.010909091	0.5147915	1.0	2511	tags=52%, list=16%, signal=63%	
VEGFR3 SIGNALING IN LYMPHATIC ENDOTHELIUM%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VEGFR3 SIGNALING IN LYMPHATIC ENDOTHELIUM	VEGFR3 SIGNALING IN LYMPHATIC ENDOTHELIUM%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%VEGFR3 SIGNALING IN LYMPHATIC ENDOTHELIUM		21	-0.5891997	-1.6984301	0.020689655	0.5253654	1.0	1968	tags=29%, list=13%, signal=33%	
PEPTIDYL-S-DIACYLGLYCEROL-L-CYSTEINE BIOSYNTHETIC PROCESS FROM PEPTIDYL-CYSTEINE%GOBP%GO:0018231	PEPTIDYL-S-DIACYLGLYCEROL-L-CYSTEINE BIOSYNTHETIC PROCESS FROM PEPTIDYL-CYSTEINE%GOBP%GO:0018231		21	-0.58351105	-1.696652	0.003649635	0.51581997	1.0	1105	tags=33%, list=7%, signal=36%	
NEGATIVE REGULATION OF G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0045744	NEGATIVE REGULATION OF G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0045744		23	-0.5875972	-1.693486	0.015936255	0.5134275	1.0	1335	tags=30%, list=9%, signal=33%	
BETA1 ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04377	BETA1 ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04377		22	-0.57273346	-1.6864514	0.022058824	0.5262118	1.0	782	tags=23%, list=5%, signal=24%	
CLOCK-CONTROLLED AUTOPHAGY IN BONE METABOLISM%WIKIPATHWAYS_20220510%WP5205%HOMO SAPIENS	CLOCK-CONTROLLED AUTOPHAGY IN BONE METABOLISM%WIKIPATHWAYS_20220510%WP5205%HOMO SAPIENS		42	-0.48954934	-1.6849186	0.004878049	0.5164808	1.0	1803	tags=29%, list=12%, signal=32%	
PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY	PID_IL2_PI3K_PATHWAY%MSIGDB_C2%PID_IL2_PI3K_PATHWAY		24	-0.5508792	-1.6810508	0.00754717	0.51660633	1.0	2456	tags=33%, list=16%, signal=40%	
AUTOPHAGY OF NUCLEUS%GOBP%GO:0044804	AUTOPHAGY OF NUCLEUS%GOBP%GO:0044804		19	-0.58572334	-1.67763	0.017361112	0.51631474	1.0	1299	tags=32%, list=8%, signal=34%	
PI3K-AKT-MTOR SIGNALING PATHWAY AND THERAPEUTIC OPPORTUNITIES%WIKIPATHWAYS_20220510%WP3844%HOMO SAPIENS	PI3K-AKT-MTOR SIGNALING PATHWAY AND THERAPEUTIC OPPORTUNITIES%WIKIPATHWAYS_20220510%WP3844%HOMO SAPIENS		20	-0.58058405	-1.6744678	0.026755853	0.51517034	1.0	2795	tags=45%, list=18%, signal=55%	
NEPHRIN NEPH1 SIGNALING IN THE KIDNEY PODOCYTE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NEPHRIN NEPH1 SIGNALING IN THE KIDNEY PODOCYTE	NEPHRIN NEPH1 SIGNALING IN THE KIDNEY PODOCYTE%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%NEPHRIN NEPH1 SIGNALING IN THE KIDNEY PODOCYTE		24	-0.56753504	-1.6740807	0.011627907	0.50337684	1.0	1814	tags=29%, list=12%, signal=33%	
5HT4 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04376	5HT4 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04376		17	-0.6038484	-1.6714051	0.024221454	0.5027174	1.0	106	tags=18%, list=1%, signal=18%	
INOSITOL PHOSPHATE METABOLIC PROCESS%GOBP%GO:0043647	INOSITOL PHOSPHATE METABOLIC PROCESS%GOBP%GO:0043647		22	-0.56639254	-1.6676588	0.025089607	0.5054284	1.0	1207	tags=27%, list=8%, signal=30%	
CELLULAR RESPONSE TO CATECHOLAMINE STIMULUS%GOBP%GO:0071870	CELLULAR RESPONSE TO CATECHOLAMINE STIMULUS%GOBP%GO:0071870		41	-0.47916177	-1.6631545	0.01	0.5105508	1.0	989	tags=20%, list=6%, signal=21%	
RESPONSE TO CATECHOLAMINE%GOBP%GO:0071869	RESPONSE TO CATECHOLAMINE%GOBP%GO:0071869		41	-0.47916177	-1.6626197	0.0	0.5004073	1.0	989	tags=20%, list=6%, signal=21%	
PROTEIN K48-LINKED UBIQUITINATION%GOBP%GO:0070936	PROTEIN K48-LINKED UBIQUITINATION%GOBP%GO:0070936		65	-0.44310415	-1.6575434	0.0	0.5077498	1.0	2850	tags=35%, list=19%, signal=43%	
CELLULAR RESPONSE TO MONOAMINE STIMULUS%GOBP%GO:0071868	CELLULAR RESPONSE TO MONOAMINE STIMULUS%GOBP%GO:0071868		41	-0.47916177	-1.6574506	0.0049751243	0.4967681	1.0	989	tags=20%, list=6%, signal=21%	
REGULATION OF CALCINEURIN-NFAT SIGNALING CASCADE%GOBP%GO:0070884	REGULATION OF CALCINEURIN-NFAT SIGNALING CASCADE%GOBP%GO:0070884		25	-0.5475093	-1.656482	0.0038022813	0.4895637	1.0	2345	tags=36%, list=15%, signal=42%	
HISTAMINE H2 RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04386	HISTAMINE H2 RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04386		22	-0.5755765	-1.6546433	0.007518797	0.48555854	1.0	782	tags=23%, list=5%, signal=24%	
GOLGI TO ENDOSOME TRANSPORT%GOBP%GO:0006895	GOLGI TO ENDOSOME TRANSPORT%GOBP%GO:0006895		16	-0.60012496	-1.6470361	0.022292994	0.5027449	1.0	2049	tags=31%, list=13%, signal=36%	
RESPONSE TO MONOAMINE%GOBP%GO:0071867	RESPONSE TO MONOAMINE%GOBP%GO:0071867		41	-0.47916177	-1.6467929	0.0093896715	0.49330372	1.0	989	tags=20%, list=6%, signal=21%	
RAB GERANYLGERANYLATION%REACTOME DATABASE ID RELEASE 83%8873719	RAB GERANYLGERANYLATION%REACTOME DATABASE ID RELEASE 83%8873719		53	-0.45640194	-1.6460679	0.0	0.48586202	1.0	2175	tags=40%, list=14%, signal=46%	
RRNA MODIFICATION%GOBP%GO:0000154	RRNA MODIFICATION%GOBP%GO:0000154		30	-0.5235364	-1.6454095	0.012244898	0.4780713	1.0	848	tags=10%, list=6%, signal=11%	
ERK MAPK TARGETS%REACTOME DATABASE ID RELEASE 83%198753	ERK MAPK TARGETS%REACTOME DATABASE ID RELEASE 83%198753		21	-0.5499088	-1.6381909	0.014545455	0.49482659	1.0	2335	tags=38%, list=15%, signal=45%	
INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297	INTERSTRAND CROSS-LINK REPAIR%GOBP%GO:0036297		32	-0.50462365	-1.6374753	0.017857144	0.4880322	1.0	1981	tags=22%, list=13%, signal=25%	
BETA3 ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04379	BETA3 ADRENERGIC RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04379		16	-0.60913455	-1.6355785	0.016025642	0.48534894	1.0	106	tags=19%, list=1%, signal=19%	
NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME DATABASE ID RELEASE 83%9013695	NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME DATABASE ID RELEASE 83%9013695		19	-0.58055776	-1.6352466	0.010380623	0.4773967	1.0	1724	tags=26%, list=11%, signal=30%	
INOSITOL LIPID-MEDIATED SIGNALING%GOBP%GO:0048017	INOSITOL LIPID-MEDIATED SIGNALING%GOBP%GO:0048017		57	-0.44820303	-1.6349648	0.013422819	0.46972787	1.0	2704	tags=37%, list=18%, signal=45%	
FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0008543	FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0008543		25	-0.5383583	-1.6277995	0.010638298	0.48463976	1.0	1403	tags=28%, list=9%, signal=31%	
REGULATION OF PROTEIN NEDDYLATION%GOBP%GO:2000434	REGULATION OF PROTEIN NEDDYLATION%GOBP%GO:2000434		19	-0.5812979	-1.6274471	0.007168459	0.47752365	1.0	1388	tags=32%, list=9%, signal=35%	
OPIOID SIGNALLING%REACTOME DATABASE ID RELEASE 83%111885	OPIOID SIGNALLING%REACTOME DATABASE ID RELEASE 83%111885		82	-0.41301703	-1.627338	0.008333334	0.46961966	1.0	1757	tags=24%, list=11%, signal=27%	
NOTCH%IOB%NOTCH	NOTCH%IOB%NOTCH		48	-0.45023108	-1.6201745	0.010256411	0.4882123	1.0	1724	tags=21%, list=11%, signal=23%	
GABA RECEPTOR ACTIVATION%REACTOME DATABASE ID RELEASE 83%977443	GABA RECEPTOR ACTIVATION%REACTOME DATABASE ID RELEASE 83%977443		49	-0.46225786	-1.6168519	0.0056497175	0.49155444	1.0	1351	tags=22%, list=9%, signal=25%	
GM-CSF%IOB%GM-CSF	GM-CSF%IOB%GM-CSF		41	-0.4692854	-1.6116599	0.011235955	0.50117636	1.0	2780	tags=44%, list=18%, signal=53%	
DOWNREGULATION OF SMAD2 3:SMAD4 TRANSCRIPTIONAL ACTIVITY%REACTOME%R-HSA-2173795.4	DOWNREGULATION OF SMAD2 3:SMAD4 TRANSCRIPTIONAL ACTIVITY%REACTOME%R-HSA-2173795.4		28	-0.5276769	-1.6109854	0.004016064	0.49547496	1.0	1006	tags=29%, list=7%, signal=31%	
BIOCARTA_CREB_PATHWAY%MSIGDB_C2%BIOCARTA_CREB_PATHWAY	BIOCARTA_CREB_PATHWAY%MSIGDB_C2%BIOCARTA_CREB_PATHWAY		15	-0.58477634	-1.6090225	0.0127795525	0.49463913	1.0	1749	tags=47%, list=11%, signal=53%	
CD40%IOB%CD40	CD40%IOB%CD40		17	-0.5715339	-1.5928547	0.025396826	0.5466178	1.0	1934	tags=41%, list=13%, signal=47%	
KITRECEPTOR%IOB%KITRECEPTOR	KITRECEPTOR%IOB%KITRECEPTOR		45	-0.46387404	-1.5928252	0.019900497	0.5384098	1.0	2507	tags=40%, list=16%, signal=48%	
AMYLOID FIBRIL FORMATION%GOBP%GO:1990000	AMYLOID FIBRIL FORMATION%GOBP%GO:1990000		19	-0.56815934	-1.5912261	0.044827588	0.5358717	1.0	3136	tags=53%, list=20%, signal=66%	
PID_LYMPH_ANGIOGENESIS_PATHWAY%MSIGDB_C2%PID_LYMPH_ANGIOGENESIS_PATHWAY	PID_LYMPH_ANGIOGENESIS_PATHWAY%MSIGDB_C2%PID_LYMPH_ANGIOGENESIS_PATHWAY		17	-0.59208	-1.5864707	0.036303632	0.54516965	1.0	1749	tags=24%, list=11%, signal=27%	
SIGNALING BY FGFR1%REACTOME DATABASE ID RELEASE 83%5654736	SIGNALING BY FGFR1%REACTOME DATABASE ID RELEASE 83%5654736		35	-0.4817628	-1.5863076	0.00990099	0.5379039	1.0	1135	tags=29%, list=7%, signal=31%	
BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY	BIOCARTA_ALK_PATHWAY%MSIGDB_C2%BIOCARTA_ALK_PATHWAY		20	-0.5575224	-1.5862898	0.05109489	0.530213	1.0	1174	tags=35%, list=8%, signal=38%	
REGULATION OF CALCINEURIN-MEDIATED SIGNALING%GOBP%GO:0106056	REGULATION OF CALCINEURIN-MEDIATED SIGNALING%GOBP%GO:0106056		26	-0.51777977	-1.5860077	0.024193548	0.52361816	1.0	2345	tags=35%, list=15%, signal=41%	
FACTORS AND PATHWAYS AFFECTING INSULIN-LIKE GROWTH FACTOR (IGF1)-AKT SIGNALING%WIKIPATHWAYS_20220510%WP3850%HOMO SAPIENS	FACTORS AND PATHWAYS AFFECTING INSULIN-LIKE GROWTH FACTOR (IGF1)-AKT SIGNALING%WIKIPATHWAYS_20220510%WP3850%HOMO SAPIENS		26	-0.5252655	-1.5771419	0.018726591	0.5493878	1.0	2795	tags=42%, list=18%, signal=52%	
PID_RET_PATHWAY%MSIGDB_C2%PID_RET_PATHWAY	PID_RET_PATHWAY%MSIGDB_C2%PID_RET_PATHWAY		27	-0.5166999	-1.5728084	0.007751938	0.55831176	1.0	1455	tags=30%, list=9%, signal=33%	
RAC PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0016601	RAC PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0016601		18	-0.58070827	-1.5706961	0.021201413	0.55807894	1.0	1488	tags=33%, list=10%, signal=37%	
2Q13 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP5222%HOMO SAPIENS	2Q13 COPY NUMBER VARIATION SYNDROME%WIKIPATHWAYS_20220510%WP5222%HOMO SAPIENS		33	-0.48990992	-1.5687473	0.012658228	0.5577059	1.0	612	tags=15%, list=4%, signal=16%	
WNT SIGNALING PATHWAY, PLANAR CELL POLARITY PATHWAY%GOBP%GO:0060071	WNT SIGNALING PATHWAY, PLANAR CELL POLARITY PATHWAY%GOBP%GO:0060071		23	-0.53301483	-1.5679641	0.03533569	0.5529855	1.0	1701	tags=30%, list=11%, signal=34%	
OLIGODENDROCYTE SPECIFICATION AND DIFFERENTIATION, LEADING TO MYELIN COMPONENTS FOR CNS%WIKIPATHWAYS_20220510%WP4304%HOMO SAPIENS	OLIGODENDROCYTE SPECIFICATION AND DIFFERENTIATION, LEADING TO MYELIN COMPONENTS FOR CNS%WIKIPATHWAYS_20220510%WP4304%HOMO SAPIENS		19	-0.5450048	-1.5665314	0.038869258	0.5511131	1.0	1489	tags=32%, list=10%, signal=35%	
PID_MAPK_TRK_PATHWAY%MSIGDB_C2%PID_MAPK_TRK_PATHWAY	PID_MAPK_TRK_PATHWAY%MSIGDB_C2%PID_MAPK_TRK_PATHWAY		25	-0.5110085	-1.565166	0.02734375	0.54859614	1.0	1934	tags=52%, list=13%, signal=59%	
PHOSPHATIDYLINOSITOL-MEDIATED SIGNALING%GOBP%GO:0048015	PHOSPHATIDYLINOSITOL-MEDIATED SIGNALING%GOBP%GO:0048015		55	-0.4462498	-1.563529	0.018518519	0.5469625	1.0	2704	tags=36%, list=18%, signal=44%	
NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026	NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION%GOBP%GO:0007026		17	-0.57552856	-1.563417	0.02739726	0.54044586	1.0	2039	tags=41%, list=13%, signal=47%	
PROTEIN K11-LINKED UBIQUITINATION%GOBP%GO:0070979	PROTEIN K11-LINKED UBIQUITINATION%GOBP%GO:0070979		28	-0.50448877	-1.5598603	0.031128405	0.54649234	1.0	856	tags=18%, list=6%, signal=19%	
THROMBIN SIGNALLING THROUGH PROTEINASE ACTIVATED RECEPTORS (PARS)%REACTOME DATABASE ID RELEASE 83%456926	THROMBIN SIGNALLING THROUGH PROTEINASE ACTIVATED RECEPTORS (PARS)%REACTOME DATABASE ID RELEASE 83%456926		24	-0.5164111	-1.5547632	0.028169014	0.5577044	1.0	612	tags=17%, list=4%, signal=17%	
PID_BMP_PATHWAY%MSIGDB_C2%PID_BMP_PATHWAY	PID_BMP_PATHWAY%MSIGDB_C2%PID_BMP_PATHWAY		25	-0.510164	-1.5543575	0.031128405	0.5524503	1.0	2914	tags=52%, list=19%, signal=64%	
TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME DATABASE ID RELEASE 83%8986944	TRANSCRIPTIONAL REGULATION BY MECP2%REACTOME DATABASE ID RELEASE 83%8986944		56	-0.43076324	-1.5511099	0.0062111802	0.55698764	1.0	2076	tags=32%, list=14%, signal=37%	
REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN%GOBP%GO:0033628	REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN%GOBP%GO:0033628		26	-0.48490545	-1.5476172	0.03968254	0.562279	1.0	1776	tags=31%, list=12%, signal=35%	
PEPTIDYL-CYSTEINE MODIFICATION%GOBP%GO:0018198	PEPTIDYL-CYSTEINE MODIFICATION%GOBP%GO:0018198		30	-0.48313835	-1.5414878	0.042194095	0.57832116	1.0	1105	tags=27%, list=7%, signal=29%	
HIPPO SIGNALING REGULATION PATHWAYS%WIKIPATHWAYS_20220510%WP4540%HOMO SAPIENS	HIPPO SIGNALING REGULATION PATHWAYS%WIKIPATHWAYS_20220510%WP4540%HOMO SAPIENS		60	-0.42685023	-1.5398268	0.0064102565	0.57784235	1.0	1757	tags=23%, list=11%, signal=26%	
POSITIVE REGULATION OF RHO PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0035025	POSITIVE REGULATION OF RHO PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0035025		17	-0.5474444	-1.5393797	0.038327526	0.57285327	1.0	357	tags=18%, list=2%, signal=18%	
ERBB SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP673%HOMO SAPIENS	ERBB SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP673%HOMO SAPIENS		67	-0.4118021	-1.5390661	0.0057803467	0.567685	1.0	2713	tags=36%, list=18%, signal=43%	
SIGNALING BY FGFR3%REACTOME DATABASE ID RELEASE 83%5654741	SIGNALING BY FGFR3%REACTOME DATABASE ID RELEASE 83%5654741		28	-0.486974	-1.534888	0.03557312	0.57672936	1.0	1135	tags=32%, list=7%, signal=35%	
BIOCARTA_CTCF_PATHWAY%MSIGDB_C2%BIOCARTA_CTCF_PATHWAY	BIOCARTA_CTCF_PATHWAY%MSIGDB_C2%BIOCARTA_CTCF_PATHWAY		16	-0.56020147	-1.5304816	0.037671234	0.58758163	1.0	3363	tags=56%, list=22%, signal=72%	
KITRECEPTOR%NETPATH%KITRECEPTOR	KITRECEPTOR%NETPATH%KITRECEPTOR		42	-0.4517638	-1.52994	0.030150754	0.58299404	1.0	2456	tags=38%, list=16%, signal=45%	
B CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP23%HOMO SAPIENS	B CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP23%HOMO SAPIENS		66	-0.41583386	-1.5280359	0.0064102565	0.5835777	1.0	2914	tags=39%, list=19%, signal=48%	
