NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CELLULAR RESPONSE TO HEAT STRESS%REACTOME%R-HSA-3371556.1	CELLULAR RESPONSE TO HEAT STRESS%REACTOME%R-HSA-3371556.1		85	0.56071705	1.686275	0.0	0.52068883	1.0	2218	tags=28%, list=14%, signal=33%	
MITOCHONDRIAL TRNA AMINOACYLATION%REACTOME%R-HSA-379726.1	MITOCHONDRIAL TRNA AMINOACYLATION%REACTOME%R-HSA-379726.1		21	0.6827341	1.6809216	0.008264462	0.5371587	1.0	2256	tags=38%, list=15%, signal=45%	
NGF-STIMULATED TRANSCRIPTION%REACTOME%R-HSA-9031628.2	NGF-STIMULATED TRANSCRIPTION%REACTOME%R-HSA-9031628.2		37	0.61552495	1.6609066	0.0012722646	0.67349136	1.0	1130	tags=35%, list=7%, signal=38%	
GLUCONEOGENESIS%GOBP%GO:0006094	GLUCONEOGENESIS%GOBP%GO:0006094		23	0.6634014	1.6563048	0.010943913	0.68818736	1.0	2981	tags=52%, list=19%, signal=65%	
RESPONSE TO HEAT%GOBP%GO:0009408	RESPONSE TO HEAT%GOBP%GO:0009408		46	0.5920815	1.6528083	0.0050955415	0.6924605	1.0	2218	tags=28%, list=14%, signal=33%	
TRNA CHARGING%BIOCYC%TRNA-CHARGING-PWY	TRNA CHARGING%BIOCYC%TRNA-CHARGING-PWY		38	0.601229	1.6450503	0.0076530613	0.73659056	1.0	4399	tags=53%, list=29%, signal=74%	
HSP90 CHAPERONE CYCLE FOR SHRS%REACTOME DATABASE ID RELEASE 83%3371497	HSP90 CHAPERONE CYCLE FOR SHRS%REACTOME DATABASE ID RELEASE 83%3371497		37	0.61006474	1.6393576	0.0025188916	0.7626877	1.0	1676	tags=32%, list=11%, signal=36%	
RESPONSE TO TOPOLOGICALLY INCORRECT PROTEIN%GOBP%GO:0035966	RESPONSE TO TOPOLOGICALLY INCORRECT PROTEIN%GOBP%GO:0035966		94	0.53600127	1.6376026	0.0023094688	0.7530621	1.0	2298	tags=30%, list=15%, signal=35%	
PID_INTEGRIN_A4B1_PATHWAY%MSIGDB_C2%PID_INTEGRIN_A4B1_PATHWAY	PID_INTEGRIN_A4B1_PATHWAY%MSIGDB_C2%PID_INTEGRIN_A4B1_PATHWAY		24	0.6677963	1.6370987	0.006811989	0.73255366	1.0	1277	tags=29%, list=8%, signal=32%	
POSITIVE REGULATION OF MICROTUBULE POLYMERIZATION%GOBP%GO:0031116	POSITIVE REGULATION OF MICROTUBULE POLYMERIZATION%GOBP%GO:0031116		27	0.6362036	1.6366221	0.0013192613	0.713372	1.0	1060	tags=22%, list=7%, signal=24%	
COMPLEMENT ACTIVATION%GOBP%GO:0006956	COMPLEMENT ACTIVATION%GOBP%GO:0006956		15	0.7045766	1.6319411	0.01300578	0.7333754	1.0	1324	tags=40%, list=9%, signal=44%	
ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS	ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ALPHA4 BETA1 INTEGRIN SIGNALING EVENTS		31	0.62210184	1.6278356	0.010309278	0.7482179	1.0	1277	tags=26%, list=8%, signal=28%	
WARBURG EFFECT%PATHWHIZ%PW000630	WARBURG EFFECT%PATHWHIZ%PW000630		40	0.59770006	1.6215099	0.008985879	0.78600526	1.0	3276	tags=52%, list=21%, signal=67%	
COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 83%166658	COMPLEMENT CASCADE%REACTOME DATABASE ID RELEASE 83%166658		24	0.65779597	1.6181258	0.012016022	0.79701114	1.0	1605	tags=33%, list=10%, signal=37%	
TRNA AMINOACYLATION FOR PROTEIN TRANSLATION%GOBP%GO:0006418	TRNA AMINOACYLATION FOR PROTEIN TRANSLATION%GOBP%GO:0006418		38	0.601229	1.6158689	0.0090673575	0.79627734	1.0	4399	tags=53%, list=29%, signal=74%	
GLYCOGEN STORAGE DISEASE TYPE 1A (GSD1A) OR VON GIERKE DISEASE%SMPDB%SMP0000374	GLYCOGEN STORAGE DISEASE TYPE 1A (GSD1A) OR VON GIERKE DISEASE%SMPDB%SMP0000374		16	0.6926132	1.6152135	0.019548872	0.7810301	1.0	2668	tags=56%, list=17%, signal=68%	
PHOSPHOENOLPYRUVATE CARBOXYKINASE DEFICIENCY 1 (PEPCK1)%SMPDB%SMP0000560	PHOSPHOENOLPYRUVATE CARBOXYKINASE DEFICIENCY 1 (PEPCK1)%SMPDB%SMP0000560		16	0.6926132	1.6120226	0.017142856	0.7923911	1.0	2668	tags=56%, list=17%, signal=68%	
REGULATION OF HSF1-MEDIATED HEAT SHOCK RESPONSE%REACTOME%R-HSA-3371453.1	REGULATION OF HSF1-MEDIATED HEAT SHOCK RESPONSE%REACTOME%R-HSA-3371453.1		66	0.55016464	1.609235	0.0073439414	0.7980659	1.0	2218	tags=23%, list=14%, signal=26%	
INTERLEUKIN-12 SIGNALING%REACTOME DATABASE ID RELEASE 83%9020591	INTERLEUKIN-12 SIGNALING%REACTOME DATABASE ID RELEASE 83%9020591		37	0.5952142	1.6087108	0.010243278	0.7830027	1.0	4030	tags=51%, list=26%, signal=69%	
FRUCTOSE-1,6-DIPHOSPHATASE DEFICIENCY%SMPDB%SMP0000562	FRUCTOSE-1,6-DIPHOSPHATASE DEFICIENCY%SMPDB%SMP0000562		16	0.6926132	1.6055326	0.011477762	0.79420483	1.0	2668	tags=56%, list=17%, signal=68%	
GLYCOLYTIC PROCESS%GOBP%GO:0006096	GLYCOLYTIC PROCESS%GOBP%GO:0006096		25	0.6364296	1.6022933	0.012211669	0.80388516	1.0	3002	tags=64%, list=20%, signal=79%	
POSITIVE REGULATION OF INTERLEUKIN-8 PRODUCTION%GOBP%GO:0032757	POSITIVE REGULATION OF INTERLEUKIN-8 PRODUCTION%GOBP%GO:0032757		37	0.5867019	1.6006252	0.010037641	0.80152	1.0	4820	tags=57%, list=31%, signal=83%	
GLYCOGENOSIS, TYPE IB%SMPDB%SMP0000573	GLYCOGENOSIS, TYPE IB%SMPDB%SMP0000573		16	0.6926132	1.5986118	0.011560693	0.80200064	1.0	2668	tags=56%, list=17%, signal=68%	
FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME DATABASE ID RELEASE 83%389960	FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME DATABASE ID RELEASE 83%389960		21	0.6549465	1.5983735	0.017167382	0.7860783	1.0	4138	tags=62%, list=27%, signal=85%	
NUCLEOTIDE PHOSPHORYLATION%GOBP%GO:0046939	NUCLEOTIDE PHOSPHORYLATION%GOBP%GO:0046939		25	0.6364296	1.5969987	0.009655172	0.78162265	1.0	3002	tags=64%, list=20%, signal=79%	
PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY	PID_INTEGRIN1_PATHWAY%MSIGDB_C2%PID_INTEGRIN1_PATHWAY		40	0.5878195	1.5964462	0.0113350125	0.77039295	1.0	3375	tags=40%, list=22%, signal=51%	
GLUCONEOGENESIS%PATHWHIZ%PW000152	GLUCONEOGENESIS%PATHWHIZ%PW000152		16	0.6926132	1.5956279	0.017142856	0.76114273	1.0	2668	tags=56%, list=17%, signal=68%	
NEPHROTIC SYNDROME%WIKIPATHWAYS_20220510%WP4758%HOMO SAPIENS	NEPHROTIC SYNDROME%WIKIPATHWAYS_20220510%WP4758%HOMO SAPIENS		24	0.64151025	1.5935925	0.0041841003	0.763048	1.0	3877	tags=54%, list=25%, signal=72%	
NUCLEOSIDE DIPHOSPHATE PHOSPHORYLATION%GOBP%GO:0006165	NUCLEOSIDE DIPHOSPHATE PHOSPHORYLATION%GOBP%GO:0006165		25	0.6364296	1.5896506	0.009497965	0.78233624	1.0	3002	tags=64%, list=20%, signal=79%	
REGULATION OF DNA-TEMPLATED TRANSCRIPTION IN RESPONSE TO STRESS%GOBP%GO:0043620	REGULATION OF DNA-TEMPLATED TRANSCRIPTION IN RESPONSE TO STRESS%GOBP%GO:0043620		31	0.6094381	1.5894809	0.020618556	0.76863927	1.0	3375	tags=48%, list=22%, signal=62%	
GLYCOGENOSIS, TYPE IA. VON GIERKE DISEASE%SMPDB%SMP0000581	GLYCOGENOSIS, TYPE IA. VON GIERKE DISEASE%SMPDB%SMP0000581		16	0.6926132	1.5884147	0.018492177	0.7631598	1.0	2668	tags=56%, list=17%, signal=68%	
MAINTENANCE OF PROTEIN LOCALIZATION IN ORGANELLE%GOBP%GO:0072595	MAINTENANCE OF PROTEIN LOCALIZATION IN ORGANELLE%GOBP%GO:0072595		34	0.5914913	1.5811292	0.014120667	0.81411344	1.0	3991	tags=47%, list=26%, signal=63%	
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO STRESS%GOBP%GO:0043618	REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO STRESS%GOBP%GO:0043618		26	0.6304196	1.5785825	0.013404826	0.82214594	1.0	3375	tags=54%, list=22%, signal=69%	
GLYCOGENOSIS, TYPE IC%SMPDB%SMP0000574	GLYCOGENOSIS, TYPE IC%SMPDB%SMP0000574		16	0.6926132	1.5783203	0.021337127	0.8094986	1.0	2668	tags=56%, list=17%, signal=68%	
ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3	ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES%REACTOME%R-HSA-2022090.3		37	0.5784692	1.5764911	0.016666668	0.8109516	1.0	3445	tags=41%, list=22%, signal=52%	
ATP GENERATION FROM ADP%GOBP%GO:0006757	ATP GENERATION FROM ADP%GOBP%GO:0006757		25	0.6364296	1.575578	0.017639078	0.8047951	1.0	3002	tags=64%, list=20%, signal=79%	
ATP METABOLIC PROCESS%GOBP%GO:0046034	ATP METABOLIC PROCESS%GOBP%GO:0046034		118	0.5046376	1.5745523	0.0054229936	0.79975075	1.0	3025	tags=38%, list=20%, signal=47%	
INTERLEUKIN-12 FAMILY SIGNALING%REACTOME DATABASE ID RELEASE 83%447115	INTERLEUKIN-12 FAMILY SIGNALING%REACTOME DATABASE ID RELEASE 83%447115		43	0.5716435	1.5745323	0.013784461	0.7863436	1.0	4030	tags=49%, list=26%, signal=66%	
TRNA AMINOACYLATION%GOBP%GO:0043039	TRNA AMINOACYLATION%GOBP%GO:0043039		41	0.57817465	1.5744634	0.010443864	0.7737178	1.0	4399	tags=51%, list=29%, signal=72%	
ADP METABOLIC PROCESS%GOBP%GO:0046031	ADP METABOLIC PROCESS%GOBP%GO:0046031		27	0.625911	1.5738828	0.020725388	0.7662947	1.0	3002	tags=59%, list=20%, signal=74%	
GLYCOLYSIS AND GLUCONEOGENESIS%WIKIPATHWAYS_20220510%WP534%HOMO SAPIENS	GLYCOLYSIS AND GLUCONEOGENESIS%WIKIPATHWAYS_20220510%WP534%HOMO SAPIENS		17	0.69771534	1.5714978	0.012448133	0.7731599	1.0	3002	tags=59%, list=20%, signal=73%	
TRIOSEPHOSPHATE ISOMERASE DEFICIENCY%PATHWHIZ%PW000539	TRIOSEPHOSPHATE ISOMERASE DEFICIENCY%PATHWHIZ%PW000539		16	0.6926132	1.5713251	0.013196481	0.7624524	1.0	2668	tags=56%, list=17%, signal=68%	
MORPHINE ACTION PATHWAY%PATHWHIZ%PW000412	MORPHINE ACTION PATHWAY%PATHWHIZ%PW000412		32	0.59981495	1.5701104	0.017150396	0.76051867	1.0	1785	tags=34%, list=12%, signal=39%	
AMINO ACID ACTIVATION%GOBP%GO:0043038	AMINO ACID ACTIVATION%GOBP%GO:0043038		41	0.57817465	1.5700352	0.012376238	0.74938226	1.0	4399	tags=51%, list=29%, signal=72%	
CILIUM MOVEMENT INVOLVED IN CELL MOTILITY%GOBP%GO:0060294	CILIUM MOVEMENT INVOLVED IN CELL MOTILITY%GOBP%GO:0060294		39	0.5826454	1.5698255	0.011235955	0.73942935	1.0	2091	tags=33%, list=14%, signal=38%	
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216	COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 83%8948216		28	0.5984363	1.5647565	0.01615074	0.770803	1.0	3729	tags=54%, list=24%, signal=71%	
RESPONSE TO TEMPERATURE STIMULUS%GOBP%GO:0009266	RESPONSE TO TEMPERATURE STIMULUS%GOBP%GO:0009266		70	0.5304516	1.5613406	0.0047281324	0.78722197	1.0	2654	tags=29%, list=17%, signal=34%	
CHAPERONE-MEDIATED PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0051131	CHAPERONE-MEDIATED PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0051131		19	0.64974225	1.5605543	0.031811897	0.782173	1.0	1113	tags=32%, list=7%, signal=34%	
HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743	HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0042743		16	0.6697262	1.5568936	0.028248588	0.80094177	1.0	2895	tags=44%, list=19%, signal=54%	
GENE AND PROTEIN EXPRESSION BY JAK-STAT SIGNALING AFTER INTERLEUKIN-12 STIMULATION%REACTOME DATABASE ID RELEASE 83%8950505	GENE AND PROTEIN EXPRESSION BY JAK-STAT SIGNALING AFTER INTERLEUKIN-12 STIMULATION%REACTOME DATABASE ID RELEASE 83%8950505		32	0.5933343	1.5544755	0.014230272	0.80993676	1.0	4030	tags=50%, list=26%, signal=68%	
SPERM MOTILITY%GOBP%GO:0097722	SPERM MOTILITY%GOBP%GO:0097722		37	0.57619065	1.553461	0.011842106	0.8073141	1.0	2091	tags=32%, list=14%, signal=37%	
ACETAMINOPHEN METABOLISM PATHWAY%PATHWHIZ%PW000616	ACETAMINOPHEN METABOLISM PATHWAY%PATHWHIZ%PW000616		19	0.64678633	1.551827	0.015384615	0.8097985	1.0	3402	tags=47%, list=22%, signal=61%	
SPERM FLAGELLUM ASSEMBLY%GOBP%GO:0120316	SPERM FLAGELLUM ASSEMBLY%GOBP%GO:0120316		16	0.67595935	1.5505509	0.03085554	0.8097943	1.0	2069	tags=38%, list=13%, signal=43%	
WARBURG EFFECT%SMPDB%SMP0087270	WARBURG EFFECT%SMPDB%SMP0087270		39	0.56618214	1.5504079	0.012853471	0.8000797	1.0	4079	tags=56%, list=27%, signal=77%	
CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES	CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES		30	0.60450524	1.5503618	0.019059721	0.7898501	1.0	2289	tags=37%, list=15%, signal=43%	
FLAGELLATED SPERM MOTILITY%GOBP%GO:0030317	FLAGELLATED SPERM MOTILITY%GOBP%GO:0030317		37	0.57619065	1.5470252	0.008928572	0.80663735	1.0	2091	tags=32%, list=14%, signal=37%	
PURINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009144	PURINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009144		134	0.48773474	1.5461209	0.0021621622	0.8032782	1.0	3025	tags=35%, list=20%, signal=43%	
HYPOXIC AND OXYGEN HOMEOSTASIS REGULATION OF HIF-1-ALPHA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HYPOXIC AND OXYGEN HOMEOSTASIS REGULATION OF HIF-1-ALPHA	HYPOXIC AND OXYGEN HOMEOSTASIS REGULATION OF HIF-1-ALPHA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HYPOXIC AND OXYGEN HOMEOSTASIS REGULATION OF HIF-1-ALPHA		19	0.6614723	1.5438248	0.012162162	0.812259	1.0	2532	tags=53%, list=16%, signal=63%	
CILIUM OR FLAGELLUM-DEPENDENT CELL MOTILITY%GOBP%GO:0001539	CILIUM OR FLAGELLUM-DEPENDENT CELL MOTILITY%GOBP%GO:0001539		48	0.5481609	1.5428704	0.015834348	0.8105623	1.0	2091	tags=31%, list=14%, signal=36%	
NEGATIVE REGULATION OF MYELOID CELL DIFFERENTIATION%GOBP%GO:0045638	NEGATIVE REGULATION OF MYELOID CELL DIFFERENTIATION%GOBP%GO:0045638		41	0.5620233	1.5424191	0.019059721	0.80422944	1.0	3606	tags=49%, list=23%, signal=64%	
POST-CHAPERONIN TUBULIN FOLDING PATHWAY%REACTOME DATABASE ID RELEASE 83%389977	POST-CHAPERONIN TUBULIN FOLDING PATHWAY%REACTOME DATABASE ID RELEASE 83%389977		18	0.64768046	1.540995	0.021276595	0.8062408	1.0	2659	tags=44%, list=17%, signal=54%	
HEXOSE BIOSYNTHETIC PROCESS%GOBP%GO:0019319	HEXOSE BIOSYNTHETIC PROCESS%GOBP%GO:0019319		26	0.61310726	1.5353241	0.025606468	0.84394413	1.0	3308	tags=50%, list=22%, signal=64%	
IBUPROFEN ACTION PATHWAY%SMPDB%SMP0000086	IBUPROFEN ACTION PATHWAY%SMPDB%SMP0000086		28	0.5972092	1.5331875	0.018396847	0.8530724	1.0	5033	tags=64%, list=33%, signal=95%	
AUF1 (HNRNP D0) BINDS AND DESTABILIZES MRNA%REACTOME%R-HSA-450408.3	AUF1 (HNRNP D0) BINDS AND DESTABILIZES MRNA%REACTOME%R-HSA-450408.3		51	0.5395596	1.5316178	0.016887818	0.85625416	1.0	3219	tags=37%, list=21%, signal=47%	
PRIMARY FOCAL SEGMENTAL GLOMERULOSCLEROSIS (FSGS)%WIKIPATHWAYS_20220510%WP2572%HOMO SAPIENS	PRIMARY FOCAL SEGMENTAL GLOMERULOSCLEROSIS (FSGS)%WIKIPATHWAYS_20220510%WP2572%HOMO SAPIENS		47	0.54741454	1.5296247	0.021013597	0.8630924	1.0	3384	tags=38%, list=22%, signal=49%	
POSITIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031112	POSITIVE REGULATION OF MICROTUBULE POLYMERIZATION OR DEPOLYMERIZATION%GOBP%GO:0031112		29	0.5939815	1.5294591	0.028460544	0.8544461	1.0	1060	tags=21%, list=7%, signal=22%	
REGULATION OF INTERFERON-ALPHA PRODUCTION%GOBP%GO:0032647	REGULATION OF INTERFERON-ALPHA PRODUCTION%GOBP%GO:0032647		22	0.6269836	1.5269016	0.021156559	0.86592513	1.0	4197	tags=59%, list=27%, signal=81%	
TRNA AMINOACYLATION%REACTOME%R-HSA-379724.1	TRNA AMINOACYLATION%REACTOME%R-HSA-379724.1		42	0.55551624	1.5262141	0.0175	0.8620678	1.0	4399	tags=50%, list=29%, signal=70%	
CILIUM-DEPENDENT CELL MOTILITY%GOBP%GO:0060285	CILIUM-DEPENDENT CELL MOTILITY%GOBP%GO:0060285		48	0.5481609	1.5256547	0.011235955	0.8578404	1.0	2091	tags=31%, list=14%, signal=36%	
OLEFINIC COMPOUND METABOLIC PROCESS%GOBP%GO:0120254	OLEFINIC COMPOUND METABOLIC PROCESS%GOBP%GO:0120254		61	0.52883416	1.5243838	0.010752688	0.85914034	1.0	2046	tags=26%, list=13%, signal=30%	
EPIBOLY%GOBP%GO:0090504	EPIBOLY%GOBP%GO:0090504		22	0.6179137	1.5220976	0.031039136	0.86970115	1.0	894	tags=23%, list=6%, signal=24%	
CHAPERONE MEDIATED AUTOPHAGY%REACTOME DATABASE ID RELEASE 83%9613829	CHAPERONE MEDIATED AUTOPHAGY%REACTOME DATABASE ID RELEASE 83%9613829		19	0.64336556	1.5180286	0.031161472	0.89560866	1.0	1113	tags=32%, list=7%, signal=34%	
MIRNA METABOLIC PROCESS%GOBP%GO:0010586	MIRNA METABOLIC PROCESS%GOBP%GO:0010586		16	0.6484217	1.5159116	0.055084746	0.9044106	1.0	4525	tags=75%, list=29%, signal=106%	
PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205	PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205		131	0.48091677	1.5147412	0.004305705	0.9049325	1.0	3126	tags=36%, list=20%, signal=45%	
POST-TRANSLATIONAL PROTEIN PHOSPHORYLATION%REACTOME DATABASE ID RELEASE 83%8957275	POST-TRANSLATIONAL PROTEIN PHOSPHORYLATION%REACTOME DATABASE ID RELEASE 83%8957275		76	0.5068728	1.5123224	0.01146789	0.91588515	1.0	3148	tags=43%, list=20%, signal=54%	
NEGATIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND%GOBP%GO:2001240	NEGATIVE REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND%GOBP%GO:2001240		16	0.65529263	1.5097849	0.038135592	0.92973316	1.0	54	tags=13%, list=0%, signal=13%	
INDAPAMIDE ACTION PATHWAY%SMPDB%SMP0000110	INDAPAMIDE ACTION PATHWAY%SMPDB%SMP0000110		19	0.6217741	1.508138	0.046478875	0.93441015	1.0	1531	tags=32%, list=10%, signal=35%	
INTEGRATED STRESS RESPONSE SIGNALING%GOBP%GO:0140467	INTEGRATED STRESS RESPONSE SIGNALING%GOBP%GO:0140467		24	0.5968651	1.5037148	0.03773585	0.96355265	1.0	3767	tags=46%, list=25%, signal=61%	
